"SALES 
PERSON",COMPANY NAME," INVOICE
AMOUNT ","INVOICE 
NUMBER",SALES REMARK,CLAIM STATUS,HRDF GRANT ID,HRDF TRAINING DATE,HRDF CLAIM ID,
JOSHUA HO,WCT GREEN SDN. BHD.," RM9,020.16 ",EHIN2509-0019,ONE BATCH,RECEIVED,929961P_25_0021, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316271,
JOSHUA HO,SEGI ASTANA SDN. BHD.," RM6,019.92 ",EHIN2509-0017,ONE BATCH,RECEIVED,916663H_25_0072, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316324,
AZIZ,BUMIKONSERV SDN. BHD.," RM2,896.56 ",EHIN2509-0020,ONE BATCH,RECEIVED,142992A_25_0009,07/10/2025   To :  09/10/2025,C832542SBL_25_2335151,
JOSHUA HO,SKYPARK RAC SDN. BHD.," RM5,151.60 ",EHIN2509-0016,ONE BATCH,RECEIVED,829466V_25_0008, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316281,
AZIZ,P-EXCELL MANAGEMENT SDN BHD," RM5,793.12 ",EHIN2509-0024,ONE BATCH,RECEIVED,228308T_25_0049,07/10/2025   To :  09/10/2025,C832542SBL_25_2335239,
JOSHUA HO,CIPTA WAWASAN MAJU ENGINEERING SDN. BHD.," RM1,674.00 ",EHIN2509-0022,ONE BATCH,PENDING,371810H_25_0083,07/10/2025   To :  09/10/2025,,
BARI,AGROTO BUSINESS (M) SDN. BHD.," RM10,095.84 ",EHIN2509-0026,BATCH 1,PENDING,974335M_25_0025,11/11/2025   To :  13/11/2025,,
FARHANAH,CERGAS MAJU HARDWARES & ENGINEERING ENTERPRISE," RM3,726.00 ",EHIN2509-0029,ONE BATCH,APPROVED,RA0007176U_25_0006, 30/09/2025   To :  02/10/2025,C832542SBL_25_2335927,
YASMIN,MALAYSIAN CLEANSING SERVICES SDN BHD," RM19,440.00 ",EHIN2509-0027,ONE BATCH,PENDING,94694K_25_0079, 30/09/2025   To :  02/10/2025,,
BARI,NATURAL FRESH MARKETING (M) SDN. BHD.," RM20,191.68 ",EHIN2509-0025,ONE BATCH,PENDING,1085940X_25_0008,18/11/2025   To :  20/11/2025,,
FARHANAH,WING LOONG STATIONERS SDN. BHD.," RM4,192.56 ",EHIN2509-0030,ONE BATCH,PENDING,10374U_25_0014,14/10/2025   To :  16/10/2025,,
MUIM,AEC GLOBAL SDN. BHD.," RM4,296.24 ",EHIN2509-0031,ONE BATCH,PENDING,1093459V_25_0004,14/10/2025   To :  16/10/2025,,
MUIM,KOPERASI PERBADANAN PUTRAJAYA BERHAD," RM4,626.72 ",EHIN2509-0034,ONE BATCH,SUBMITTED, B41252_25_0023,07/10/2025   To :  09/10/2025,C832542SBL_25_2353542,
JOSHUA HO,BECON ENTERPRISE SDN. BHD.," RM33,384.96 ",EHIN2509-0023,ONE BATCH,PENDING,82256V_25_0016,07/10/2025   To :  09/10/2025,,
VINCE,HAI KAH LANG SDN BHD," RM3,087.72 ",EHIN2508-0029,BATCH 3,PENDING,1435132X_25_0004,07/10/2025   To :  09/10/2025,,
BARI,LANGSURA GEOPARK SDN BHD," RM9,972.72 ",EHIN2509-0032,ONE BATCH,PENDING,518734V_2_25_0079,04/11/2025   To :  06/11/2025,,
VINCE,HK PROFESSIONAL CLEANING SERVICE SDN. BHD.," RM8,216.64 ",EHIN2509-0035,ONE BATCH,PENDING,1309824W_25_0001,14/10/2025   To :  16/10/2025,,
JOSHUA HO,TONE WOW SDN. BHD.," RM23,943.60 ",EHIN2509-0010,ONE BATCH,PENDING,1225327U_25_0010,14/10/2025   To :  16/10/2025,,
JOSHUA HO,GEOTECHNICAL ALLIANCE SDN. BHD.," RM14,735.52 ",EHIN2510-0002,ONE BATCH,PENDING,1311212P_25_0005,21/10/2025   To :  23/10/2025,,
YASMIN,BOUSTEAD HOTELS & RESORTS SDN. BHD.," RM8,728.56 ",EHIN2510-0003,ONE BATCH,PENDING,147089A_25_0460,14/10/2025   To :  16/10/2025,,
VINCE,K & T TRADING (KUANTAN) SDN. BHD.," RM12,830.40 ",EHIN2510-0008,ONE BATCH,PENDING,707572X_25_0010,21/10/2025   To :  23/10/2025,,
BARI,KAWAL HIKMAH SDN. BHD.," RM40,824.00 ",EHIN2510-0005,ONE BATCH,PENDING,782939V_25_0043,21/10/2025   To :  23/10/2025,,
FATIMAH,SPEEDY SEVEN SDN. BHD.," RM10,497.60 ",EHIN2510-0007,ONE BATCH,PENDING,1263436P_25_0017,21/10/2025   To :  23/10/2025,,
JONATHAN,EE JIA HOUSEWARES (M) SDN. BHD.," RM10,662.84 ",EHIN2510-0009,ONE BATCH,PENDING,510535U_25_0009,14/10/2025   To :  16/10/2025,,
YASMIN,T&W CONSTRUCTION AND ENGINEERING SDN. BHD.," RM3,674.16 ",EHIN2510-0001,ONE BATCH,PENDING,951973d_25_0015,14/10/2025   To :  16/10/2025,,
VINCE,TRISEN MANUFACTURING SDN. BHD.," RM22,194.00 ",EHIN2509-0033,ONE BATCH,PENDING,175723H_25_0047,21/10/2025   To :  23/10/2025,,
BARI,WECRUIT SDN. BHD.," RM1,827.36 ",EHIN2510-0010,ONE BATCH,PENDING,1519186M_25_0001,21/10/2025   To :  23/10/2025,,
MUIM,RUYI TRADING SDN. BHD.," RM22,647.60 ",EHIN2510-0011,ONE BATCH,PENDING,725723V_25_0011,21/10/2025   To :  23/10/2025,,
FATIMAH,SRI SEGAR FOOD CORPORATION SDN. BHD.," RM12,960.00 ",EHIN2509-0005,ONE BATCH,PENDING,99781W_25_0047,21/10/2025   To :  23/10/2025,,
MUIM,KCJ ENGINEERING SDN BHD," RM16,744.32 ",EHIN2510-0012,ONE BATCH,PENDING,496842T_25_0097,04/11/2025   To :  06/11/2025,,
MUIM,PTK GROUP SDN. BHD.," RM2,844.72 ",,ONE BATCH,PENDING,1588102D_25_0001,28/10/2025   To :  30/10/2025,,
VINCE,HASHTAC FOOD SDN. BHD.," RM1,995.84 ",,ONE BATCH,PENDING,202201014245_25_0001,21/10/2025   To :  23/10/2025,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
,, RM-   ,,,PENDING,,,,
